,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Only Prefill Measurement,,,,,,,,,,Prefill+Generation Measurement,,,,,,,,,,Only Prefill Roofline,,,,,,Prefill+Generation Roofline,,,,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,
,,Layer,Dmodel,FFN Hidden,Card Num,batch,Input_Length,Out_Length,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Comp-P,Error,AllGather,Error,AllReduce,Error,Comp-GP,Error,Comp-GA,Error,AllGather,Error,AllReduce,Error,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time
,,32,2560,13652,2,2,1024,1024,0.208683157,0.07290296,,,0.02172334,,,,,,14.79320478,2.538307,,0.171586011,1.91367,,,,,,,,0.0654152,10.27%,,,,,,,2.3597996,7.03%,,,5242880,10485760,32,255.075,8162.4,5242880,10485760,32,255.075,8162.4,27959296,55918592,32,1279,40928,5242880,10485760,32,255.075,8162.4,,,,,,,,,,,5120,10240,32736,17.3725,568706.16,5120,10240,32736,17.3725,568706.16,27304,54608,32736,17.97,588265.92,5120,10240,32736,17.3725,568706.16,,,,,,,,,,
,,32,2560,13652,2,2,1500,548,0.337133312,0.1069741,,,0.05589976,,,,,,8.302398682,1.444989,,0.174044762,1.180233,,,,,,,,0.09424,11.90%,,,,,,,1.3210516,8.58%,,,7680000,15360000,32,365,11680,7680000,15360000,32,365,11680,40956000,81912000,32,1850,59200,7680000,15360000,32,365,11680,,,,,,,,,,,5120,10240,17504,17.3725,304088.24,5120,10240,17504,17.3725,304088.24,27304,54608,17504,17.97,314546.88,5120,10240,17504,17.3725,304088.24,,,,,,,,,,
,,32,2560,13652,2,4,32,32,0.028163719,0.008240218,,,0.001161831,,,,,,0.45041132,0.09743003,,0.216313458,0.02085324,,,,,,,,0.00670112,18.68%,,,,,,,0.08367288,14.12%,,,327680,655360,32,36.47,1167.04,327680,655360,32,36.47,1167.04,1747456,3494912,32,100,3200,327680,655360,32,36.47,1167.04,,,,,,,,,,,10240,20480,992,18.1975,18051.92,10240,20480,992,18.1975,18051.92,54608,109216,992,23,22816,10240,20480,992,18.1975,18051.92,,,,,,,,,,
,,32,2560,13652,2,4,256,256,0.105606079,0.03824292,,,0.004687564,,,,,,3.798921156,0.833927,,0.219516796,0.2951175,,,,,,,,0.0341096,10.81%,,,,,,,0.6672644,19.99%,,,2621440,5242880,32,138.975,4447.2,2621440,5242880,32,138.975,4447.2,13979648,27959296,32,649,20768,2621440,5242880,32,138.975,4447.2,,,,,,,,,,,10240,20480,8160,18.1975,148491.6,10240,20480,8160,18.1975,148491.6,54608,109216,8160,23,187680,10240,20480,8160,18.1975,148491.6,,,,,,,,,,
,,32,2560,13652,2,4,1024,1024,0.39896493,0.1422692,,,0.04136183,,,,,,16.75848837,3.175493,,0.189485646,2.94144,,,,,,,,0.1284776,9.69%,,,,,,,2.66854568,15.96%,,,10485760,20971520,32,491.975,15743.2,10485760,20971520,32,491.975,15743.2,55918592,111837184,32,2539,81248,10485760,20971520,32,491.975,15743.2,,,,,,,,,,,10240,20480,32736,18.1975,595713.36,10240,20480,32736,18.1975,595713.36,54608,109216,32736,23,752928,10240,20480,32736,18.1975,595713.36,,,,,,,,,,
,,32,2560,13652,2,4,1500,548,0.638557625,0.2103013,,,0.1085239,,,,,,9.579417849,1.840767,,0.192158545,1.858675,,,,,,,,0.185952,11.58%,,,,,,,1.54413112,16.11%,,,15360000,30720000,32,712,22784,15360000,30720000,32,712,22784,81912000,163824000,32,3675,117600,15360000,30720000,32,712,22784,,,,,,,,,,,10240,20480,17504,18.1975,318529.04,10240,20480,17504,18.1975,318529.04,54608,109216,17504,23,402592,10240,20480,17504,18.1975,318529.04,,,,,,,,,,
,M6-50B,64,8192,43376,4,1,32,32,0.067505789,0.0108902,0.004700085,,0.00229427,,,,,,1.622554684,0.109532591,0.052487491,0.099854928,0.038846941,,,,,,,,0.00578368,46.89%,0.00313728,33.25%,,,,,0.0951232,13.16%,0.0448608,14.53%,694016,2776064,64,60.64,0.00388096,131072,524288,64,29.73,0.00190272,,,,,,,,,,,524288,524288,64,49.02,0.00313728,,,,,,21688,86752,1984,24.9,0.0494016,4096,16384,1984,20.13,0.03993792,,,,,,,,,,,16384,16384,1984,21.03,0.04172352,,,,,
,,64,8192,43376,4,1,256,256,0.148616028,0.022970668,0.009950185,,0.003650748,,,,,,13.09015813,0.859597,0.398698909,0.096125341,0.400379045,,,,,,,,0.0185088,19.42%,0.0090432,9.12%,,,,,0.7533984,12.35%,0.3522528,11.65%,5552128,22208512,64,220,0.01408,1048576,4194304,64,69.2,0.0044288,,,,,,,,,,,4194304,4194304,64,141.3,0.0090432,,,,,,21688,86752,16320,24.9,0.406368,4096,16384,16320,20.13,0.3285216,,,,,,,,,,,16384,16384,16320,21.03,0.3432096,,,,,
,,64,8192,43376,4,1,1024,1024,0.496646595,0.071495405,0.022774632,,0.02351095,,,,,,54.01559691,3.542373636,1.605521364,0.095303862,3.220001818,,,,,,,,0.0620992,13.14%,0.020928,8.11%,,,,,3.01030336,15.02%,1.39780416,12.94%,22208512,88834048,64,797.4,0.0510336,4194304,16777216,64,172.9,0.0110656,,,,,,,,,,,16777216,16777216,64,327,0.020928,,,,,,21688,86752,65472,24.9,1.6302528,4096,16384,65472,20.13,1.31795136,,,,,,,,,,,16384,16384,65472,21.03,1.37687616,,,,,
,,64,8192,43376,4,1,1500,548,0.745300865,0.105300486,0.033930386,,0.059955855,,,,,,29.68195667,1.959754545,0.981678955,0.099098369,1.919600455,,,,,,,,0.09199616,12.63%,0.02981632,12.13%,,,,,1.6684064,14.87%,0.76603456,21.97%,32532000,130128000,64,1198.6,0.0767104,6144000,24576000,64,238.84,0.01528576,,,,,,,,,,,24576000,24576000,64,465.88,0.02981632,,,,,,21688,86752,35008,24.9,0.8716992,4096,16384,35008,20.13,0.70471104,,,,,,,,,,,16384,16384,35008,21.03,0.73621824,,,,,
